Time Stamp	Velocidad
16815330	17
16835281	17
16855043	17
16875010	17,5
16894969	17,5
16914873	17,5
16934980	17,5
16954745	17,5
16974702	18
16994639	18
17014550	18
17034661	18
17054434	18,5
17074360	18,5
17094335	18,5
17114221	18,5
17134378	18,5
17154163	19
17174070	19
17194253	19
17213902	19
17234068	19,5
17253790	19,5
17273770	19,5
17293731	20
17313629	20
17333784	20
17353490	20
17373429	20
17393377	20,5
17413266	20,5
17433485	20,5
17453201	21
17473100	21
17493049	21,5
17512962	21,5
17533149	21,5
17552883	22
17572806	22
17592838	22,5
17612689	22,5
17632923	22,5
17652629	23
17672538	23
17692486	23,5
17712403	23,5
17732589	23,5
17752266	24
17772212	24
17792263	24,5
17812139	24,5
17832267	24,5
17851981	25
17871916	25
17891900	25,5
17911829	25,5
17931939	26
17951743	26,5
17971615	27
17991576	27,5
18011489	27,5
18031435	28
18051415	28
18071329	28,5
18091311	28,5
18111216	28,5
18131178	29
18151142	30
18171095	30,5
18191041	30,5
18210999	30,5
18230881	31
18250850	31,5
18270782	31,5
18290700	32
18310642	32
18330629	32,5
18350584	32,5
18370510	33
18390476	33,5
18410427	33,5
18430369	33,5
18450300	33,5
18470189	34
18490164	34
18510127	34
18530092	34,5
18550020	34,5
18569960	35
18590014	35,5
18609858	35,5
18629781	35,5
18649725	36
18669683	36
18689630	36,5
18709557	36,5
18729484	36,5
18749424	37
18769364	37,5
18789313	37,5
18809269	37,5
18829238	38
18849156	38
18869096	38,5
18889056	39
18908999	39
18928971	39
18948921	39,5
18968836	40
18988771	40
19008691	40
19028635	40,5
19048611	41
19068544	41
19088519	41,5
19108459	41,5
19128406	42
19148375	42
19168289	42,5
19188218	43
19208206	43
19228081	43
19248057	43,5
19268006	44
19287992	44
19307916	44
19327998	44,5
19347797	45
19367744	45
19387727	45,5
19407646	45,5
19427609	46
19447522	46
19467466	46,5
19487437	46,5
19507355	46,5
19527327	47
19547269	47,5
19567212	47,5
19587201	48
19607152	48
19627116	48,5
19647023	48,5
19666967	49
19686917	49,5
19706886	49,5
19726771	49,5
19746775	50
19766682	50,5
19786622	50,5
19806697	50,5
19826519	51
19846519	51
19866450	51,5
19886378	52
19906322	52
19926280	52
19946258	52,5
19966172	52,5
19986121	53
20006067	53
20026061	53
20045964	53,5
20065939	54
20085876	54
20105885	54
20125750	54,5
20145750	54,5
20165683	55
20185640	55,5
20205542	55,5
20225506	55,5
20245438	56
20265435	56
20285389	56,5
20305299	56,5
20325364	56,5
20345198	57
20365156	57
20385102	57,5
20405150	57,5
20425109	57,5
20445013	58
20464958	58,5
20484936	58,5
20504883	58,5
20524897	58,5
20544773	59
20564735	59,5
20584725	59,5
20604633	59,5
20624549	60
20644490	60
20664439	60,5
20684386	60,5
20704333	60,5
20724277	61
20744221	61
20764186	61,5
20784123	61,5
